riddle,answer
"black within and read without,   with four corners round about,   what am I",newspaper
what fo people like to read,newspaper
what goes up the stairs black and white and comes back down the stairs red?,newspaper
i am a paper with that you get every day or week i come in a paper bin what am i ?,newspaper
He died for people's entertainment. ,gladiator
"Ripped from my mother's womb,  Beaten and burned,  I become a blood-thirsty slayer,  What am I?",iron ore
"Soldiers line up spaced with pride,  Two long rows lined side by side.   One sole unit can decide,  If the rows will unite or divide.   Tell me, tell me, scream it out.   What's the thing I talk about?",zipper
"Its tail is round and hollow,Seems to get chewed a bit,But you'll rarely see this thingUnless the other end is lit. ",pipe
"Never resting, never still.   Moving silently from hill to hill.   It does not walk, run or trot,  All is cool where it is not.    What is it?",sunshine
you're confused and i am to  what to the world this thing could do?,riddle
"I am something when you make me, I hold your knowledge, I have the answer, I am as you make me I am this of which I have just said,   what am I?",riddle
WHEN YOU KMOW WHAT I AM I AM SOMETHING BUT WHEN YOU DON'T KNOW WHAT I AM THEN I AM NOTHING.  WHAT AM I?,riddle
"I play with your mind, i ensnare your thoghts, i bend your mind to figure me out.  I laugh at your strugle, your intensity in thought, my tricks trap you and decieve you, though some can guess my questions while other despair in thought.  Some are weak to me other overcome my challenges yet only if you can figure me out will you get the answer.  Who or What am I?",riddle
"I may be simple, I may be complex; I may have a name, but no gender or sex; I am often a question, or statements as a setup; I tend to have an answer, 'til you find it I won't let up.  What am I?",riddle
"Even if you give this to someone else, you still get to keep it.    What is it?",your word
You cannot keep me until you have given me.  What am I?,your word
"Two words, my answer is only two words.    To keep me, you must give me. ",your word
"When Miss Millie purchased her new parrot, the salesman assured her that it would repeat any word it heard.  About a week later, Miss Millie returned the parrot complaining it hadn't uttered a single word.     Given that the salesman had spoken the truth about the parrot's abilities, why wouldn't the bird talk?",parrot was deaf
"what is smaller than a sink but bigger than a cup, yet the mississipi river wont fill it up?",strainer
"what is as big as a biscuit, and deep as a cup               but not even a river                 can fill it up?",strainer
"A hill full,  A hole full,  Yet you cannot catch a bowl full.   What is it?",mist
"I can be quick and then I'm deadly,  I am a rock, shell and bone medley.   If I was made into a man, I'd make people dream,  I gather in my millions by ocean, sea and stream. ",sand
"What measures out time,   Until in time   All is smashed to it?",sand
When I go to the beach.   I am found. When I go in the water I am smoth.   What am I. ,sand
"I build up castles.    I tear down mountains.    I make some men blind,   I help others to see.    What am I?",sand
I am not alive but I can die.   What am I?,battery
somthing fun on its bum what is it,chocolate
"What's dark, different lengths and enjoyable?",chocolate
"Sometimes I am light, sometimes I am dark.   Most people like me.   What am I?",chocolate
"I can be black or white.  I can be cold or hot, what am I?",chocolate
"Shifting, Shifting, Drifting deep. Below me great and mighty cities sleep. Swirling, Scurlling, All around. I'm only where no water will be found. ",desert
"With my pair I should be,But I am usually alone you see,For a monster always eats me. Do you know what I must be?",socks
"A natural state, I'm sought by all.  Go without me, and you shall fall.  In times past you'd me when you spend, and use me when you eat to no end.   What am I?",balance
"black as night or ink,  i will comfort you,  but be wary for your   horses i tire",coal
"Black I am and much admired, men seek me until they're tired.  When they find me, they break my head, and take from me my resting bed.  What am I?",coal
"black we are and much addmired, men seek for us if they are tiered.  we tire the horses and confort the man, tell me this riddle if you can. ",coal
What goose in black turns red and comes out gray,coal
"Looks like water, but it's heat.  Sits on sand, lays on concrete.  People have been known, To follow it everywhere.  But it gets them no place, And all they can do is stare. ",mirage
A burning fire in one's heart  yet in ONE lion will never start  Across the nations influences people  yet can not be seen through a peep hole,courage
"I am born in fear, raised in truth,   and I come to my own in deed.    When comes a time that I'm called forth,   I come to serve the cause of need.   What am I?",courage
Downward grows the root.  Outward grows the skin. Upward grows the shoot.  What way blows the wind?,wayward
"No head has he but he wears a hat.  No feet has he but he stands up straight.  On him perhaps a fairy sat, weaving a spell one evening late!",toadstool
"I cut through evil   like a double edged sword,   And chaos flees at my approach.    Balance I single-handedly upraise,   Through battles fought with heart and mind,   Instead of with my gaze.     What am I?",justice
"Thousands lay up gold within this house, But no man made it.  Spears past counting guard this house, But no man wards it. ",beehive
"Golden treasures I contain, guarded by hundreds and thousands.  Stored in a labyrinth where no man walks, yet men come often to seize my gold.     By smoke I am overcome and robbed, then left to build my treasure anew.     What am I?",beehive
"I am good at concealing what's real and hide what's true. Sometime, I bring out the courage in you!What am I?",makeup
"An open ended barrel, I am shaped like a hive.  I am filled with the flesh, and the flesh is alive! What am I?",thimble
"Break me and i am better, immediately set and harder to be broken again what am i ??",record
I ate one and threw away two.  What is it?,oyster
"Slayer of regrets, old and new, sought by many, found by few.  What am I?",redemption
I bind it and it walks.  I loose it and it stops. ,sandal
"We travel much, yet prisoners are, and close confined to boot.  Yet with any horse, we will keep the pace, and will always go on foot.  What are they?",spurs
There is a creature of God whose body is hard; it does not wish to eat unless you strike its head. ,chisel
"The more of these you take, the more appear behind you.  What am I?",steps
A doctor gives you three pills and tells you to take one every 30 minutes.   How long does it take to run out of pills?,one hour
How many 9's are there between 1 and 100?,20
David's mom had four kids.  The first one was a boy named Jimmy.  The second one was a girl named Sammy.  The third was a boy named Chris.  The fourth one was a boy.  What was his name?,david
"David's father has three sons: Snap, Crackle, and ?",david
"The sun bakes them, the hand breaks them, the foot treads on them, and the mouth tastes them.  What are they?",grapes
"When young, I am sweet in the sun.  When middle-aged, I can help to make you healthy.  When old, I am valued more than ever What am I?",grapes
All men take off their hats to one person.  Who is this person?,barber
"A man shaves several times a day, yet he still has a beard.   Who is this man?",barber
"There's a butcher and he's 6"" 2 and his wife is 5"" 3.  His wife weighs 160lbs.  What does the butcher weigh?",meat
"Tom's height is six feet, he is an assistant at a butcher's shop, and wears size 12 shoes.  What does he weigh?",meat
"The sun weight mesures 300,000 times as much as earth's, what would it weigh if it were a clerk in a butcher shop?",meat
there is a butcher that is five foot five(5. 5). . . . . . . . . . . . . . . . . . . . . . . . what does he wiegh???,meat
"a butcher has a 36 inch waist around, and he's 5 feet tall.   what does he weigh???",meat
"What's long, different colors, make you feel like your in heaven, and is inserted somewhere?",rainbow
I am the only bowyoucannot tie.  What am I?,rainbow
"it is light;but its to high to touch,it is colourful too!!",rainbow
im blue not black im red not grey im yellow not brown im green not gold what am i?,rainbow
What ends in a 'w' but has no end?,rainbow
"I spend most of my day eating white.  When I am quick enough, I get rewarded with fruit and somethings blue.  In a dark room with blue walls, I run from the ghost that roam the halls.  What am I?",pacman
I am a delicious way of representing data.  What am I?,pie chart
"I like to twirl my body but keep my head up high.  After I go in, everything becomes tight.  What am I?",screw
"I eat as you turn me,  my blade cutting wood,   when I am full,  empty me you should.     What am I?",sharpener
"I am only useful  When I am full,  Yet I am always  Full of holes. ",sponge
"what has holes in it but, can contain water",sponge
i AM A SQUARE   PEOPLE BY ME AT THE STORE  THEY WASH DISHES WITH ME,sponge
When I Dry I Get Wet.  What Am I ?,sponge
"In the ocean I live, but one touch of dry land for me, I die.   What am I?",sponge
I take off my clothes when you put on your clothes.  I put on my clothes when you take off your clothes.  What am I?,clothes hanger
I can be simple or I can be complex.  I can be found in this riddle or in everyday life.  I can be shapes or even colors.  What am I?,pattern
"What is it that when   you take away the whole,   you still have some left over?",wholesome
"I have hands that wave at you,  Though I never say goodbye.   It's cool for you to be with me,  Especially when I say, ""HI. ""  What am I?",electric fan
Hide me from your parents if you have done bad academically this year.  What am I?,report card
"I get paid to shoot people, then blow them up.  What am I?",photographer
Makeup for finger tips.  What am I?,nail polish
Deposit red liquid in me.  What am I?,blood bank
I save lives on the ground and in the air.  What am I?,seat belt
I was born before my father  Married my sister.   And stood at my mother's grave. ,priest
"that person has been married many women, but he had never been married.      WHO IS HE?",priest
"I moan, I groan, I chase after you.  I never seem to rest.  Time's up for you.  What am I?",children
"Although it sounds like I work on a transportation device, I actually work in a restaurant.  What am I?",busboy
"I am one small little piece of paper, yet sometimes hold lots of value.  I am all you need to get in to big events, but will cost you.  I am an important part of travel.  And if lost, you're not coming.  What am I?",ticket
I am the only organ in the human body that gave itself it's own name.  What am I?,brain
"I have billions of eyes, but I live in darkness.  I have millions of ears, but have only four looms.  I have no muscle and has two hemispheres.   What am I?",brain
What works on day and sleeps at night  It stays inside and has no light???,brain
"what can be smart and dumb too,it is also very near you,it is weird and cool too,it can be feared and it needs no fuel, what am i?",brain
whats red and pink and has tunnels of life flowing through the uneven rigids and is above the rest of its attachment?,brain
I am a candy that looks like a shepherd's staff.  What am I?,candy cane
Find me on body builders or in the drink aisle.  What am I?,six pack
"I can alter the actions of a king, and leave puzzled the greatest of philosophers.   What am I?",woman
"The last man on Earth received a phone call, who was the caller?",woman
"What kind of man usually wears makeup, has long hair, and wears high heels?",woman
"They belong to me, they belong to you, they can make you feel happy or make you feel blue, they never end until the day you do?",thoughts
"Kings and Queens may cling to power, and the Jesters got his call.  But as you may discover the common one out ranks them all.   What is It?",ace
"A strange attraction compels me to hold your things most dear, yet I know it not, and feel no warmth in my holding.  My brothers and I stick close together until one faces me, and then is pushed away. ",magnet
"i come in many shapes and sized, many colors and i stick to many surfaces, but i am in fact not sticky at all.  What am i?",magnet
What is weightless but takes two people to hold it?,friendship
"I am a ship that can be made to ride the greatest waves.  I am not built by tool, but built by hearts and minds.  What am I?",friendship
which is the best ship of the world?,friendship
"I am something you want, but you cannot buy me.  If Iâ€™m strong enough, then I will last forever.  What am I?",friendship
"what is somthing 2 people can share,but one can not have?",friendship
"what walkes on four legs in the past,two in the present and 3 in the futcha",human
I have two legs and can go in water and land what am I?,human
i have one voice.  when im young i walk n 4 when im older i walk on 2 when im young i walk on 3.  im slowest on 3 what am I?,human
im a scientis  im going to invent a creature so evil cruel and unusual   what did i create?,human
"I walk on Four legges in the morning, two legs in the afternoon, and three legs in the evening.   what am i?",human
My first half means container.  Not a lot of people understand my language.  What am I?,binary
I make a living following the wealthy and beautiful.  What am I?,paparazzi
This falls from the mouths of babies and homer simpson when he sees doughnuts,drool
I am the hardest thing to create and maintane but I am very easily broken what am I?,love
"What I want is what I hate  Why you give is why i wait  Those who quit are naught but fools  Those who try are bound to lose  To own me you must set me free  And tell the truth yet lie to me  The secret is as clear as day  yet dark as night, so now let's play. . . . ",love
seven hearts the journey will make and seven ways the heart will break flesh and bones and pooring rain come to me and il suck your brain. whatam i,love
I can make you happy  I can make you sad  I can last and last  Or I can fade away with time  I can set you free  Or lock you up  I can be mistaken  And taken also I can bring people together or split them apart. ,love
"Men can carry me to their grave, though i never truely die.  I live in happiness, through people who know me.  Some never find me, others get children from me, yet most men look for me, instead they find someone else.  What Am I?",love
WHAT BIRD CAN LIFT THE HEAVIES WEIGHTS?,crane
"I have a long neck,   I'm  named after a bird,   I Feed on cargo of ships  I'm  not alive    What am I ?",crane
I am the ruler of shovels  I have a double  I am as thin as a knife  I have a wife  What am I?,king of spades
"I only have one entrance, but you can come out with three exits.  What am I?",blouse
When there is a fly near our food it is normally a pest.  But when we see this fly near food it is often a welcome guest.  What am I?,butterfly
"I get hurt when im in your hands, but am known to cause hurricanes. ",butterfly
If you take some butter and throw it towards the sky what will you say?,butterfly
"A very pretty thing am I, fluttering in the pale-blue sky.   Delicate, fragile on the wing, indeed I am a pretty thing.   What am I?",butterfly
"Although my name suggests, I am not a dairy product.   I am always drunk but neither wine, beer or spirits have I drunk;  My life begins without wings, but later I turn to flight.   What am I?",butterfly
"My voice rises above the din,  Sometimes catching all unaware.   I never ask questions,  yet get many answers. ",doorbell
What never asks questions but is always answered.  What am I?,doorbell
"I'm named after nothing, though I'm awfully clamorous.  And when I'm not working, your house is less glamorous.  What am I?",vacuum cleaner
I have a big mouth and I am also quite loud! I am NOT a gossip but I do get involved with everyone's dirty business.  Can you name me?,vacuum cleaner
what has legs but cannot walk ?,chair
"I stand all day ,     On my four equal legs.      I cant sit ,     But i help others to rest.       Every house i am there,     But no one thinks me to be a scare.       Even if a big bumble bee sting,     It wont worry me as i'm not a livng thing.       All people use me ,      Yes the do.      I can be any color,     Even blue. ",chair
I have four legs and somtimes two arms.  All of my people have the same basic shape but we come in many sizes and colors.  What am I?,chair
I HAVE FOUR LEGS BUT CANNOT RUN AND I HAVE TWO ARMS BUT I CANNOT GRAB.  WHAT AM I?,chair
I have legs but walk not   A strong back but work not   Two good arms but reach not   A seat but sit and tarry not  What am I?,chair
"When I point up it's bright, but when I point down it's dark.   What am I?",light switch
"I am seen in the water   If seen in the sky,   I am in the rainbow,   A jay's feather,   And lapis lazuli. ",blue
what color is the sky?,blue
"He has one and a person has two,  a citizen has three and a human being has four,  a personality has five and an inhabitant of earth has six.  What am I?",syllables
What is here but never goes. ,today
"If Tomorrow is Yesterday, and Yesterday is Tomorrow, What is Today?",today
What has taken before you can get it?,your picture
"Five men were eating apples, a finished before B, but behind C.  D finished before E, but behind B.  What was the finishing order?",cabde
"What is neither inside the house, outside the house, but no house is complete without it?",windows
What relation to you would be your father's sister's sister in law be to you?,your mother
"I give birth every day, I am loved by all, I get abused every day and im what people think about for 1 night.  Who am I?",your mother
What is the tree that we all carry in our hand?,palm
It has a miss in it  an is and you sip it what is it?,mississippi
What has four eyes but cannot see. ,mississippi
What has 4 eyes and is REALLY long?,mississippi
what has four eyes and no legs and tail?,mississippi
em eye crooked crooked eye crooked crooked eye pea pea eye,mississippi
"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody.  What am I?",pencil lead
"I have a little house in which I live all alone.  It has no doors or windows, and if I want to go out I must break through the wall.  What am I?",chick in an egg
"I'm white, and used for cutting and grinding.    When I'm damaged, humans usually remove me or fill me.  For most animals I am a useful tool.  What am I?",tooth
I have a thousand needles but I do not sew.   What am I?,porcupine
What kind of goose fights with snakes. ,mongoose
"What has the size of a cat, feet like a cat, and a head of a cat that is not a cat. ",kitten
"Tool of thief, toy of queen.  Always used to be unseen.  Sign of joy, sign of sorrow.  Giving all likeness borrowed.  What am I?",mask
"I'm found in socks, scarves and mittens.  I'm found in the paws of playful kittens.  What am I?",yarn
"I'm so fast you can't see me, though everyone else can see straight through me.  I don't stop until the day you die.  What am I?",blink of an eye
"Some will use me, while others will not, some have remembered, while others have forgot.  For profit or gain, I'm used expertly, I can't be picked off the ground or tossed into the sea.  Only gained from patience and time, can you unravel my rhyme? What am I?",im knowledge
"I am a stain in your memories, many times you question me.  What am I?",your past
"I can fill a room or just one heart.  Others can have me, but I can't be shared.  What am I?",loneliness
"Spelled forwards I'm what you do everyday, spelled backwards I'm something you hate.   What am I?",live
"A very pretty thing am I, fluttering in the pale-blue sky.   Delicate, fragile on the wing, indeed I am a pretty thing.     What am I?",butterfly delicate and unique
"I fit in with other people, but I can not talk.  I create pictures, but I can not see.  What am I?",puzzle piece
I am 1 thing.  Without me it will be incomplete.  Make sure I fit.  What am I?,puzzle piece
"With pointed fangs it sits in wait,   With piercing force its doles out fate,   Over bloodless victims proclaiming its might,   Eternally joining in a single bite.    What am I?",im a stapler
"They fill me up and you empty me, almost everyday; if you raise my arm, I work the opposite way.  What am I?",mailbox
a hill full a hole full beat you can't catch a bowl full,fog
The more there is the less you see.  What is it?,fog
"What goes up but floats? You can go through it, but cannot hear it? What is it?",fog
"It can be made many different ways.  Wars have been started over it.  Almost every country has had this at one point, and you probably have too.  It can be as hotter than 100 degrees and colder than ice.  It is still used, no matter what temperature it is.  What is it?",tea
"First I am dried, then I am wet; The longer I swim, the more taste you get.   What am I?",tea
I'm a famous drink that a lot of people like  When there's no coffee for delight  I'm a national drink  that usually comes with a treat  So now try to guess what I may be. ,tea
"Double my number, I'm less than a score, half of my number is less than four.  Add one to my double when bakers are near, days of the week are still greater, I fear.   What am I?",number six
"I'm under your face, I'm outside your mind; A biological case, Pressure brings pain sometimes.  What am I?",your skull
"You speak to me,  But you are talking to someone else,  What am I?",microphone
"I say everything I hear to others around.    I'm not an animal, nor part of the human race.    I will, immediately, repeat after you;   But only if my tail is in place.    What am I?",microphone
Only two back bones and a thousand ribs.  What am I?,railroad track
Late afternoons I often bathe.   I'll soak in water piping hot.   My essence goes through my see through clothes.   Used up am I; I've gone to pot.   What am I?,im a tea bag
"I'm tall and twisted; Narrow and fast; I'm there for a moment, But my devastation lasts.  What am I?",tornado
"Different lights do make me strange, thus into different sizes I will change.   What am I?",pupil of an eye
"I look at you, you look at me, I raise my right, you raise your left.  What am I?",your reflection in a mirror
"I can be long, or I can be short.  I can be grown, and I can be bought.  I can be painted, or left bare.  I can be round, or square.  What am I?",your fingernails
"I make you weak at the worst of all times.  I keep you safe, I keep you fine.  I make your hands sweat, and your heart grow cold, I visit the weak, but seldom the bold.  What am I?",your fears
"Poke your fingers in my eyes and I will open wide my jaws.  Linen cloth, quills, or paper, my greedy lust devours them all.  What am I?",shears or scissors
I am the oppisite of the somthing big              But i am not the shiny moon               I am similar to lark              But thats not a word               You cannot touch me                   nor feel but            I somtimes makeyouscared                    What am i?,dark
"It cannot be seen, cannot be felt,   Cannot be heard, cannot be smelt.    It lies behind stars and under hills,            And empty holes it fills.    It comes first and follows after,   Ends life, kills laughter. ",dark
What can not be seen.  can not be felt can not be heard or smelt.  it lies behind rocks and rills under mountains and hills,dark
"Duels of good and evil,   A fighter of good am I,   Revealed beside watched words,   King of the black night sky.      What am I ?",dark
"I can't be seen, found, heard or smelled.  I lie behind stars and under hills, I fill empty holes, come first and follow after.  What am I?",dark
"Large as a mountain, small as a pea,   Endlessly swimming in a waterless sea.    What am I?",asteroids
"Dark with white markings, And smooth like a rock.  Where learning occurs, I help convey thought.  What am I?",blackboardchalkboard
I'm blue at day and black at night; I do contain some creatures born and died.  What am I?,sea water
I have endless make-overs but I never know my look.  I can make any dull room bright.  What am I?,painted wall
"I am a word of three syllables, each of which is a word; my first is an article in common use; my second, an animal of uncommon intelligence; my third, though not an animal, is used in carrying burdens.  My whole is a useful art.  What am I?",penmanship
"I herald the darkness which descends on all creatures;   You will know my approach by moans and wracked features.    I visit the hippo, hyena, and horse,  But never go near snails and spiders, of course.    I would circle the glove, leaping one to the other,  Should all the world's people ever clasp hands together.    What am I?",yawn
I am black of eye and bright of hair.  I fast in to the ground and follow my lord as he races around the world.  What am I?,im a sunflower
"I am the tool, for inspiring many.  Buy me in the store, for not much more than a penny.  Don't overuse me, or my usefulness will go, what am I? Do you know?",inkpen
I'm pleasing to the eye   A tool for many absent of mind   A tapestry of fickle lies   Blind to even the most pensive spies   I'm often the breeder of fervent lust   But I am by far one you shouldn't trust.    What am I?,appearance
"My first is in wield, sever bones and marrow.    My second is in blade, forged in cold steel.    My third is in arbalest, and also in arrows.    My fourth is in power, plunged through a shield.    My fifth is in honour, and also in vows   My last will put an end to it all.     What am I?",weapon
"My head and tail both equal are,  My middle slender as a bee.   Whether I stand on head or heel  Is quite the same to you or me.   But if my head should be cut off,  The matter's true, though passing strange  Directly I to nothing change.   What Am I?",figure eight
"You use me for my name, I'm not a breeze to tame, I'm fastest when I'm full and when it's cheap it sounds the same.  You'll spot a nest near me (although I'm not a tree), the sea is fore, the sea is aft, it's all around, you see.   What am I?",sail
"Part carbon, part water, I am poison to the fishes.    Many have falsely claimed my name, for I am the pause that refreshes.    What am I?",soda pop
"From house to house he goes,  A messenger small and slight.   And whether it rains or snows,  He sleeps outside at night.   What am I?",street or road
"I'm done to boats, to cargo, to loads; When indoors I'm, in a way, a narrow road.  What am I?",haul  hall
"I am served at a table,  In gatherings of two or four.   Served small, white and round.   You'll love some,  And that's part of the fun.   What am I?",pingpong balls
I am at the beginning of all things.   I am at the end of eternity.   There is but one path from my beginning to my end.   My whole embodies indifference.   What am I?,apathy
"My dress is tranquil when I tread the earth,  or dwell at home, or drift on the water.   Sometimes my wings and this wide sky  lift me over the dwellings of men,  and then strong clouds carry me  over the people.  My ornaments  echo loudly and melodiously,  Illustriously sing when I am not near  the earth and stream, a sailing spirit.   What am I?",swan
"I'm done with a hand, one at a time; A motion to make words, but not to make lines; I'm known as correct, and as a way, in a way; And even if you don't take me away, none of me would be left.  What am I?",writeright
"I am, in truth, a yellow fork From tables in the sky By inadvertent fingers dropped The awful cutlery.  Of mansions never quite disclosed And never quite concealed The apparatus of the dark To ignorance revealed. ",lightning emily dickinson
"Adored by few,   Feared and hated by many.    Mistress of the entire universal reason,   Master in the art of numbers.    Some may have solved many of your mysteries,   But there still much of them to find.   What are they?",mathematics
"I give you a group of three.  One is sitting down, and will never get up.  The second eats as much as is given to him, yet is always hungry.  The third goes away and never returns. ",stove fire and smoke
"I have two rings.  I move by request.   If the mixture is not right, I just sit at rest.   What am I?",piston
I am filled with hotness.    I don't mind how hot water is.     What am I?,hot water bottle
"My first is not bent around.    My second means ""lift her up""   or ""cut her to the ground. ""   What am I?",straight razor
"Black and Blue.  Red and Green.  Yellow and Blue.  Green and Grey.  I am all colours.  You can try to get close to me, but you can't escape my vision.  If you get greedy, you will try to take your colours for yourself, but before you know it, I will be eating you for lunch.  What am I?",chameleon
"Of all vegetables, only two can live to produce on their own for several growing seasons.  All other vegetables must be replanted every year.  What are the only two perennial vegetables?",asparagus and rhubarb
"You will find me with four legs, but no hair.   People ride me for hours, but I don't go anywhere.   Without needing to be tugged, jerked or turned on,  I always manage to be ready for work.   What am I?",desk
"Close to the words of life stay I, But I wither, wane, and dry.  What am I?",biblepressed flower
"I sound a color, But that's the old me; I grow near the water; I'm what your doing.  What am I?",readreed
"I exist, but have no material form.  I am made of numbers, but appear square.  I build upon other of my own, but do not topple down.  I sit still and do nothing, but I'm still useful.  What am I?",minecraft blocks
"Pregnant every time you see her,   yet she never will give birth.   What is she?",full moon
What is the noblest musical instrument?,upright piano
"I can kill people, but without me there would be no people.    I was born long ago and will someday die.    I can cause fire and am a magician with water.    I have more brothers than any person.    There is very little that can stop me.     What am I?",celestial body
"What animal would you get crossed a duck, a beaver, and an otter?",platypus
"One way I'm loose, one way I'm tight; Out with left, in with right.  What am I?",screwscrewdriver
"I'm sometimes white,   Although sometimes I'm black.    I take you there,   But never bring you back.  What am I?",im a hearse
"I'm usually slimmy and sticky, Soft but bummpy, Bright and dull, I love to eat what bugs me and sometimes I live in a hole. . . . . . what am I?",frog
I have four legs but no tail.  Usually I am heard only at night.  What am I?,frog
"When it was young, it had a tail.  When it grew up, it had knees. ",frog
I have four legs and am covered withe spots but I also go in the water and can go back on land.  what am I?,frog
I come in a cone but I am not food;  I will be skewed if you screw with my hue;  I come by the millions but you can probably only name a few.   What am I?,colors
"We capture light, and yet we don't.    We reflect rays of sun, and yet we don't.    Without us all the world is gray and dull for everyone.    What are we?",colors
"I have a mouth, no butt, two cranes and floating vessels.  What am I?",ship dock
"I am a tick, I am usually black or white, You will find me on many clothing, People think I am cool.  What am I?",nike symbol
What animal probably likes doors?,doormouse
"I am just two and two.  I am hot.  I am cold.  I am the parent of numbers that cannot be told.  I am a gift beyond measure, a matter of course.  I am given with pleasure when taken by force.   What am I?",im a kiss
Through me you see through things.  What am I?,xray machine
"Roses are red, Violets are blue; And I'm forever saying: I love you.  What am I?",valentine
"My fleece is white as snow.  Everywhere that Mary goes, I go.  What am I?",lamb
"A little house full of meat, no door to go in and eat.  What am I?",nut
There's a place in the world where the wind blows south then suddenly north.  Where is it?,south pole
"Where is there is no south, west, nor east, and weather not fit for man or beast",south pole
"Our dinner guests cry that we are evil, when they notice their place in the meal.  But its no big deal why; we are just one big happy tribe! And we get reall fed up with people! Who, What or Are we?",cannibals
"I'm a word that's hardly there.  Take away my start, and I'm an herbal flair.  What am I?",sparsely no s  parsley
